articulo_id,degree,degree_centrality,betweenness_centrality,closeness_centrality,clustering_coefficient,pagerank,louvain_community,clase
1033,5,0.001847063169560399,0.002429835146308852,0.181710022390929,0.1,0.00021209784292858472,21,Genetic_Algorithms
35,168,0.062061322497229406,0.23248831450559274,0.22276881556604902,0.01140575990875392,0.02515915922009427,21,Genetic_Algorithms
103482,6,0.0022164758034724785,0.004510289343940947,0.1862382973177395,0.13333333333333333,0.0004973622014411972,3,Neural_Networks
103515,11,0.004063538973032878,0.0016807366772738266,0.18050130827302927,0.16363636363636364,0.0005888271469901964,21,Genetic_Algorithms
1050679,4,0.0014776505356483192,0.02407837711834658,0.20734745027488527,0.16666666666666666,0.000125665562504392,21,Genetic_Algorithms
1103960,5,0.001847063169560399,0.014910624854201112,0.20225115535686014,0.3,0.000125665562504392,21,Genetic_Algorithms
1103985,2,0.0007388252678241596,0.0,0.17940736095016244,1.0,0.000125665562504392,21,Genetic_Algorithms
1109199,3,0.0011082379017362393,0.008965254019513483,0.19513487893774623,0.3333333333333333,0.000125665562504392,21,Genetic_Algorithms
1112911,4,0.0014776505356483192,0.002413679750635914,0.19095003106909725,0.3333333333333333,0.000125665562504392,21,Genetic_Algorithms
1113438,5,0.001847063169560399,0.0030793377819808834,0.18398341438952406,0.2,0.000125665562504392,21,Genetic_Algorithms
1113831,3,0.0011082379017362393,0.0006779390761298553,0.1793650079376624,0.3333333333333333,0.000125665562504392,21,Genetic_Algorithms
1114331,5,0.001847063169560399,0.0016483521820987845,0.1795204001631735,0.3,0.000125665562504392,21,Genetic_Algorithms
1117476,3,0.0011082379017362393,0.00019742465331897083,0.17950626247218568,0.3333333333333333,0.000125665562504392,21,Genetic_Algorithms
1119505,2,0.0007388252678241596,0.0006779390761298551,0.17929446400313173,0.0,0.000125665562504392,21,Genetic_Algorithms
1119708,5,0.001847063169560399,8.39869899010174e-05,0.1796760618691324,0.4,0.000125665562504392,21,Genetic_Algorithms
1120431,4,0.0014776505356483192,0.0069321633464175525,0.18746365004291585,0.16666666666666666,0.000125665562504392,40,Neural_Networks
1123756,4,0.0014776505356483192,0.004005794956263533,0.18121883613227968,0.16666666666666666,0.000125665562504392,21,Genetic_Algorithms
1125386,4,0.0014776505356483192,0.009306054754118227,0.1937745915898847,0.0,0.000125665562504392,4,Theory
1127430,2,0.0007388252678241596,0.0,0.17940736095016244,1.0,0.000125665562504392,21,Genetic_Algorithms
1127913,4,0.0014776505356483192,6.928223978106701e-06,0.17954868222700385,0.5,0.000125665562504392,21,Genetic_Algorithms
